"sample_id","id","name","mark"
"s7310","e45724","ENCFF000BIA","H3K27ac"
"s7310","e45107","ENCFF001SWW","H3K27ac"
"s7314","e48198","ENCFF000CVI","H3K27ac"
"s7314","e48361","ENCFF001TDC","H3K27ac"
"s7316","e46462","ENCFF001TBL","H3K27ac"
"s7316","e46141","ENCFF000CJX","H3K27ac"
"s7317","e45770","ENCFF000CGY","H3K27ac"
"s7317","e45638","ENCFF001TAZ","H3K27ac"
"s7319","e46735","ENCFF000CRI","H3K27ac"
"s7319","e44523","ENCFF001TCM","H3K27ac"
"s7323","e45471","ENCFF001TBX","H3K27ac"
"s7323","e45266","ENCFF000CNB","H3K27ac"
"s6684","e47317","ENCFF000ANJ","H3K27ac"
"s6684","e47204","ENCFF001STM","H3K27ac"
"s7322","e46771","ENCFF000BKX","H3K27ac"
"s7322","e46719","ENCFF001SXI","H3K27ac"
"s7311","e45704","ENCFF000BRT","H3K27ac"
"s7311","e45490","ENCFF001SYJ","H3K27ac"
"s6726","e39139","ENCFF001WUX","H3K27ac"
"s6726","e39065","ENCFF001ENC","H3K27ac"
"s6726","e38825","ENCFF001WUY","H3K27ac"
"s6726","e38341","ENCFF001ENB","H3K27ac"
"s7029","e44868","ENCFF000CEE","H3K27ac"
"s7029","e44840","ENCFF001TAO","H3K27ac"
"s2687","e17084","E019-H3K27ac.narrowPeak.bed","H3K27ac"
"s2687","e17082","E019-H3K27ac.gappedPeak.bed","H3K27ac"
"s2687","e17102","E019-H3K27ac.broadPeak.bed","H3K27ac"
"s2688","e18413","E020-H3K27ac.broadPeak.bed","H3K27ac"
"s2688","e19292","E020-H3K27ac.gappedPeak.bed","H3K27ac"
"s2688","e19299","E020-H3K27ac.narrowPeak.bed","H3K27ac"
"s2689","e18864","E021-H3K27ac.gappedPeak.bed","H3K27ac"
"s2689","e18873","E021-H3K27ac.narrowPeak.bed","H3K27ac"
"s2689","e18944","E021-H3K27ac.broadPeak.bed","H3K27ac"
"s2690","e19036","E022-H3K27ac.gappedPeak.bed","H3K27ac"
"s2690","e19047","E022-H3K27ac.narrowPeak.bed","H3K27ac"
"s2690","e19070","E022-H3K27ac.broadPeak.bed","H3K27ac"
"s2691","e18777","E026-H3K27ac.gappedPeak.bed","H3K27ac"
"s2691","e18785","E026-H3K27ac.narrowPeak.bed","H3K27ac"
